cwe_id,name,type,score
639,Authorization Bypass Through User-Controlled Key,Base,0.7747330740597611
472,External Control of Assumed-Immutable Web Parameter,Base,0.7585698978526895
807,Reliance on Untrusted Inputs in a Security Decision,Base,0.7540092234978133
274,Improper Handling of Insufficient Privileges,Base,0.7516466503799395
266,Incorrect Privilege Assignment,Base,0.7506121349163977
1220,Insufficient Granularity of Access Control,Base,0.7475048442171683
653,Improper Isolation or Compartmentalization,Class,0.747398494179262
280,Improper Handling of Insufficient Permissions or Privileges ,Base,0.7468026361272132
267,Privilege Defined With Unsafe Actions,Base,0.7461511162231143
1390,Weak Authentication,Class,0.745019613255766
